# spectral wave data output
# [irregular wave components]
# nfreq 200
# ndir 0
# omega [rad/s]    a[m]       k[rad/m]        phi[rad]    theta[rad]
 6.24478E-01   3.54907E-01   3.99310E-02   2.94511E+01  -9.06599E-02
 6.24478E-01   2.50163E-01   3.99310E-02   3.72887E+01   9.06599E-02
 6.28383E-01   8.98094E-02   4.04190E-02   1.56571E+01  -4.63648E-01
 6.28383E-01   2.49360E-01   4.04190E-02   2.82500E+01  -1.79853E-01
 6.28383E-01   1.49938E-01   4.04190E-02   4.22989E+01   1.79853E-01
 6.28383E-01   2.32541E-01   4.04190E-02   4.61881E+01   4.63648E-01
 6.34726E-01   1.57869E-01   4.12194E-02   2.30222E+01  -2.66252E-01
 6.34726E-01   1.00223E-01   4.12194E-02   4.12437E+01   2.66252E-01
 6.34726E-01   9.25573E-02   4.12194E-02   4.95825E+01   6.61043E-01
 6.42085E-01   2.01809E-01   4.21599E-02   1.48179E+01  -5.40420E-01
 6.51503E-01   3.85105E-01   4.33822E-02   3.62348E+01  -0.00000E+00
 6.52650E-01   1.94052E-01   4.35326E-02   3.53068E+01  -8.31412E-02
 6.52650E-01   1.48783E-01   4.35326E-02   3.90530E+01   8.31412E-02
 6.56056E-01   1.78946E-01   4.39806E-02   3.06694E+01  -1.65149E-01
 6.56056E-01   1.44931E-01   4.39806E-02   4.66462E+01   1.65149E-01
 6.57179E-01   9.36751E-02   4.41289E-02   5.20705E+01   6.10726E-01
 6.61613E-01   2.25167E-01   4.47173E-02   4.48401E+01   2.44979E-01
 6.69158E-01   3.07990E-01   4.57288E-02   2.53783E+01  -3.21751E-01
 6.69158E-01   3.27083E-01   4.57288E-02   5.24694E+01   3.21751E-01
 6.78486E-01   1.21068E-01   4.69974E-02   5.52021E+01   3.94791E-01
 6.79498E-01   8.67391E-02   4.71362E-02   1.36180E+01  -5.66729E-01
 6.79498E-01   1.43875E-01   4.71362E-02   3.91997E+01  -7.67719E-02
 6.79498E-01   2.63872E-01   4.71362E-02   4.38894E+01   7.67719E-02
 6.82508E-01   1.50547E-01   4.75503E-02   4.50973E+01   1.52649E-01
 6.87434E-01   8.65085E-02   4.82325E-02   2.95486E+01  -2.26799E-01
 6.87434E-01   2.02957E-01   4.82325E-02   4.89410E+01   2.26799E-01
 6.89374E-01   1.04210E-01   4.85027E-02   2.11298E+01  -4.63648E-01
 6.94153E-01   1.19709E-01   4.91718E-02   3.11891E+01  -2.98499E-01
 6.94153E-01   1.04791E-01   4.91718E-02   5.41076E+01   2.98499E-01
 7.01596E-01   1.28726E-01   5.02237E-02   1.31116E+01  -5.28074E-01
 7.02509E-01   1.04661E-01   5.03536E-02   5.91907E+01   3.67174E-01
 7.04325E-01   1.15444E-01   5.06125E-02   4.46766E+01  -0.00000E+00
 7.05228E-01   8.41322E-02   5.07415E-02   3.86347E+01  -7.13075E-02
 7.05228E-01   8.13180E-02   5.07415E-02   4.53338E+01   7.13075E-02
 7.07915E-01   1.15895E-01   5.11264E-02   5.25051E+01   1.41897E-01
 7.12325E-01   1.30133E-01   5.17615E-02   2.21054E+01  -4.32408E-01
 7.12325E-01   8.66433E-02   5.17615E-02   5.38168E+01   2.11093E-01
 7.12325E-01   8.79338E-02   5.17615E-02   5.66976E+01   4.32408E-01
 7.14932E-01   9.70488E-02   5.21389E-02   1.10024E+01  -5.88003E-01
